##SpringOutingConfig
ID:Int	PROGRESS:Int	ONE:Int	TEN:Int	DIAMOND:Array	
配置id	春游进度值	单次抽奖消耗油桶数	10次抽奖消耗油桶数	购买学雷锋所需钻石	
1	20	50	500	[50, 100, 150, 200]	
##SpringPoolsConfig
ID:Int	LEVEL:Int	AWARDTYPE:Int	AWARDID:Int	COUNT:Int	RATE:Int	
56	[2201, 2250]	3900	66	
57	[2251, 2300]	3950	67	
58	[2301, 2350]	4000	68	
59	[2351, 2400]	4050	69	
60	[2401, 2450]	4100	70	
61	[2451, 2500]	4150	71	
62	[2501, 2550]	4200	72	
63	[2551, 2600]	4250	73	
64	[2601, 2650]	4300	74	
65	[2651, 2700]	4350	75	
66	[2701, 2750]	4400	76	
67	[2751, 2800]	4450	77	
68	[2801, 2850]	4500	78	
69	[2851, 2900]	4550	79	
70	[2901, 2950]	4600	80	
71	[2951, 3000]	4650	81	
72	[3001, 3050]	4700	82	
73	[3051, 3100]	4750	83	
74	[3101, 3150]	4800	84	
75	[3151, 3200]	4850	85	
76	[3201, 3250]	4900	86	
77	[3251, 3300]	4950	87	
78	[3301, 3350]	5000	88	
79	[3351, 3400]	5050	89	
80	[3401, 3450]	5100	90	
81	[3451, 3500]	5150	91	
82	[3501, 3550]	5200	92	
83	[3551, 3600]	5250	93	
84	[3601, 3650]	5300	94	
85	[3651, 3700]	5350	95	
86	[3701, 3750]	5400	96	
87	[3751, 3800]	5450	97	
88	[3801, 3850]	5500	98	
89	[3851, 3900]	5550	99	
90	[3901, 4000]	5600	100	
91	[4001, 4100]	5650	101	
92	[4101, 4200]	5700	102	
93	[4201, 4300]	5750	103	
94	[4301, 4400]	5800	104	
95	[4401, 4500]	5850	105	
96	[4501, 4600]	5900	106	
97	[4601, 4700]	5950	107	
98	[4701, 4800]	6000	108	
99	[4801, 4900]	6050	109	
100	[4901, 5000]	6100	110	
