ID:INT	GroupId:INT	ChildIDList:ARRAYDATA	EventID:INT	IsSubSocre:BOOL	Text:STRING
80	1	[81,159,160]	0	0	1|是的，他现在有意识。
81	1	[88]	0	0	0|他能自己站起来吗？
88	1	[92]	0	0	1|我认为不行，但他还没试过。
92	1	[98]	0	0	0|告诉他试着站起来。
98	1	[101,177,179]	0	0	1|为什么？他看上去很痛苦…
101	1	[103]	0	0	0|我们需要检查膝盖的状态是否稳定。
103	1	[179]	0	0	1|嗯，好吧，我们试试……听着，你必须站起来，把他扶起来。哦！ 抱住他！抱住...抱住他..！等下，坐下，坐下...我们没法这样做...你还有其他办法吗？
179	1	[183]	0	0	0|如果你有冰块的话就用冰块冷敷下吧…也可以用冷饮试试。
183	1	[184]	0	0	1|好的，我想我们可以找到一些冰块...还有别的吗？
184	1	[185]	0	0	0|没什么，剩下的只需要等待救护车了。
185	1	[]	4	0	1|好的，谢谢！我们会在这等救护车的。
177	1	[178]	0	0	0|我们需要这样做以改善血液的流动，相信我，我们是专业的。
178	1	[179]	0	0	1|...好的。听着，他们说你应该试着弯曲它，好吗？不，不，不，不，不，不，停下来。他没办法那样做。
159	1	[162]	0	0	0|听起来像是撞到东西的正常反应，过几天就好了。
162	1	[163]	0	0	1|你是认真的？ 我们什么都不用做吗？
163	1	[164]	0	0	0|先生，这个情况并不是很紧急。 你应该开车送他去医院。
164	1	[165]	0	0	1|…你确定这是个好主意吗？他现在应该不能上车吧…
165	1	[175]	0	0	0|是的，开车送他去医院。 我们不能为一点小伤去派救护车。
175	1	[]	4	1	1|真是难以置信
160	1	[161]	0	0	0|你能看到瘀伤吗？
161	1	[163]	0	0	1|不，什么都没有。
156	1	[158]	0	0	0|我需要你描述一下具体的受伤情况。
158	1	[81,167,159]	0	0	1|膝盖看起来肿得很厉害…像个球一样…你现在能派辆救护车来吗？
167	1	[168]	0	0	0|好的，我会派一辆救护车到你的位置。
168	1	[170,179,174]	0	0	1|谢谢…但是我们不应该在等待的时候做点什么吗？
170	1	[172,180]	0	0	0|让他抬起腿，让血液向下流动…你可以用让他坐在椅子上试试。
172	1	[173,174,92]	0	0	1|你说怎么做？
173	1	[176]	0	0	0|他应该试着弯曲膝盖，慢慢把它伸开……
176	1	[101]	0	0	1|嗯...这听起来不太妙。你确定它不会让它变得更糟吗？
174	1	[185]	0	0	0|其实，你只需要等待救护车就行。
180	1	[169,182,179]	0	0	1|好的，一把椅子...好吧，我们坐在上面...把你的腿抬起来。
169	1	[]	4	1	0|我们需要让膝盖动起来，这很重要。
182	1	[186]	0	0	0|救护车马上就到。
186	1	[]	4	0	1|好的谢谢你。
148	1	[151]	0	0	0|这是什么时候发生的事？
151	1	[156]	0	0	1|差不多20分钟前。
149	1	[153]	0	0	0|教练在场吗？
153	1	[156]	0	0	1|是的，我当时在场
150	1	[152]	0	0	0|具体发生了什么事？
152	1	[154,156]	0	0	1|我们是#黎明小学#旁的武术学校…我们在练习投掷的时候，一个学生突然跪在了地上。他说他感觉膝盖上有条裂缝…情况就是这样。
154	1	[155]	0	0	0|你确定这只是意外吗？他没有被其他人袭击？
155	1	[156]	0	0	1|他没有被人攻击。他总是训练很刻苦，仅此而已。
104	2	[105]	0	0	1|呃…太热了。
105	2	[106]	0	0	0|这里是911，有什么能帮你的？
106	2	[107,108]	0	0	1|你好？ 啊，你好。 我有个问题，我点了一个披萨，可是它太辣了……
107	2	[123]	0	0	0|你没有打错电话么？
123	2	[111,114]	0	0	1|该死的，我当然没打错！
111	2	[113]	0	0	0|先生，你是否有危险，但你却因为房间里有人而不敢说?
113	2	[114,116,112]	0	0	1|什么？ 不！ 我只想让商家退款！
114	2	[117]	0	0	0|你是在开玩笑么？
117	2	[110,118]	0	0	1|哟，我听起来像是在开玩笑吗？ 有关披萨的事绝对不是开玩笑！
110	2	[137]	0	0	0|警察不管这些事，你可以给商家打电话投诉他们。
137	2	[112,116,120,118]	0	0	1|我试过了，但是他们叫我滚开。这太没素质了！能找个警官来帮我吗？
112	2	[428]	0	0	0|没事的话，请不要占用紧急线路。
428	2	[120]	0	0	1|我只是想要商家给我退款好吗！你们帮忙处理下不行吗？
120	2	[121]	0	0	0|先生，不好意思，这种事不在我们的管辖范围内
121	2	[]	6	0	1|如果是你的披萨，你会有什么感想？我很失望，伙计，愿你的披萨永远不会太辣，生活永远和谐。再见！
116	2	[121]	6	0	0|伙计，不要浪费我的时间！
118	2	[119]	0	0	0|你嗑药嗨了吗?
119	2	[120,112,116]	0	0	1|嗨个风筝啊，我只想要商家给我退款，但这太难了老兄。
108	2	[109]	0	0	0|对不起，我没有听懂，能再说一遍么？
109	2	[110,111,112]	0	0	1|我订的披萨太辣了，辣到我一片都吃不下。
236	3	[237]	0	0	1|先生，你在吗？
237	3	[238]	0	0	0|你好，112，你有什么急事吗？
238	3	[239,551]	0	0	1|你好，我确实有紧急情况
239	3	[242]	0	0	0|我需要怎么帮你呢？先生
242	3	[243]	0	0	1|嗯...这是个意外，请帮我派救护车
243	3	[244]	0	0	0|什么样的意外？
244	3	[246,247,552]	0	0	1|嗯...灯泡，我和我的伴侣，呃，我们玩灯泡，呃...我们实验
246	3	[248]	0	0	0|你被电击了吗？
248	3	[249,250,247,240]	0	0	1|不，呃...就是...就像...呃...就是...把灯泡拿来当情趣用品了
249	3	[252,265]	0	0	0|它断裂了吗？你受伤了吗？
252	3	[253,250,245]	0	0	1|人没有受伤但我的自尊心受到了伤害
253	3	[254]	0	0	0|你有小汽车吗？
254	3	[257,258]	0	0	1|是的，我有一辆车
257	3	[259]	0	0	0|开车去医院
259	3	[258,250,269,271]	0	0	1|呃...我不能完全，嗯...呃...坐。驾驶需要坐着会不舒服
258	3	[260]	0	0	0|你可以请人开车送你吗？
260	3	[250,269,271]	0	0	1|嗯...我可以，但是安全吗？我真的不想在没有任何医疗监督的情况下去医院
250	3	[275]	0	0	0|先生，你在哪？
275	3	[271]	0	0	1|我在#禾祥西路7号#，我真的需要帮助!
271	3	[]	7	0	0|我马上派救护车过去，你尽量不要乱动
269	3	[270]	0	0	0|你会没事的，只要听从我的指示
270	3	[250,271,272]	0	0	1|拜托了，再一次请求你派个专业的人
272	3	[273]	0	0	0|没那么严重，只是个灯泡而已
273	3	[]	7	1	1|呃...好吧，如果你非要这说，但这对我来说没有任何帮助
245	3	[264]	0	0	0|好的，我会派救护车过去
264	3	[250]	7	0	1|天啊，太感谢了，麻烦快点，谢谢
265	3	[266,250,267]	0	0	1|哦，天哪，是的...它在那里。它被卡住了。我需要帮助。
266	3	[268]	0	0	0|你可以自己吃辣，它会帮你解决的，相信我
268	3	[250,253,269]	0	0	1|什么？我不能等那么长的时间，如果它断裂了怎么办？我需要帮助！
267	3	[268]	0	0	0|取一些油出来，让人帮你把灯泡拿出来
247	3	[265]	0	0	0|玩灯泡？在...性交的时候吗？
240	3	[241]	0	0	0|好吧，我知道了，这就是你拨打这个电话的原因对吗？
241	3	[245]	0	0	1|是的，没错，这就是为什么，嗯...
552	3	[248]	0	0	0|玩灯泡？然后呢？
551	3	[242]	0	0	0|发生什么事了吗？
276	4	[277]	0	0	1|你好，112吗？
277	4	[278]	0	0	0|你好，112，先生有什么紧急情况吗
278	4	[279,280,281]	0	0	1|这里发生了一场事故
279	4	[282]	0	0	0|在哪发生的？
282	4	[283]	0	0	1|在#湖滨东路9号#
283	4	[284]	0	0	0|有人受伤吗？
284	4	[285,286,287]	0	0	1|没有人受伤，但是我的车被划伤了，对方已经不在这里了
285	4	[288]	0	0	0|他逃跑了吗？
288	4	[289,290,297]	0	0	1|车里没有人在，所以我，甚至不知道这算不算逃跑
289	4	[292]	0	0	0|你这是在开玩笑吗？
292	4	[293,294,295]	0	0	1|我知道这很荒谬，但我认为这是一辆自动驾驶汽车
293	4	[296]	0	0	0|你好好在回想一下
296	4	[297,298]	0	0	1|我不知道该怎么办了。我从来没处理过这种事故...
297	4	[299]	0	0	0|好的，我马上派人去，你在出事的地方等着
299	4	[]	16	0	1|好的，麻烦你了，再见！
298	4	[300]	0	0	0|深呼吸，先生，如果你是安全的就没有必要恐慌
300	4	[301,294,295]	0	0	1|放松个屁，记住我的话，机器人要崛起了
301	4	[313]	0	0	0|机器人崛起吗？先生
313	4	[]	16	1	1|我不管，我不知道现在为什么打电话了，再见!
294	4	[318]	0	0	0|那你想让我做什么
318	4	[319,297]	0	0	1|我需要你的帮忙
319	4	[317]	0	0	0|我很抱歉，但是这个事故没有严重到需要派人去
317	4	[]	16	1	1|好的，再见
295	4	[314]	0	0	0|你觉得你有安全驾驶吗？
314	4	[297,316]	0	0	1|我想是的
316	4	[317]	0	0	0|那么你应该回家了
290	4	[342]	0	0	0|你喝醉了吗？
342	4	[344,295]	0	0	1|没有的，我不是那种人，我不会喝酒开车的
344	4	[318]	0	0	0|那你想让我做什么
286	4	[304]	0	0	0|这是怎么发生的
304	4	[305]	0	0	1|我车子直行，对方左转，然后对方没有礼让先行
305	4	[306]	0	0	0|有目击者吗？
306	4	[307]	0	0	1|我不知道有没有，现在这里没有人
307	4	[308]	0	0	0|声音应该很大，有人能听到吗？
308	4	[309,310,294]	0	0	1|你想要我去敲周围人家的门，问他们是否看到一辆无人驾驶汽车撞了我，然后消失？
309	4	[311]	0	0	0|无人驾驶？无人驾驶车吗？
311	4	[290]	0	0	1|没有司机
310	4	[341]	0	0	0|哦，为什么不呢？
341	4	[319]	0	0	1|声音太小了，几乎没有颠簸
287	4	[312]	0	0	0|慢慢开走了吗？
312	4	[290,297]	0	0	1|嗯，他好像都没有注意到，它撞到我的车了
280	4	[302]	0	0	0|是谁的责任?
302	4	[283]	0	0	1|我的车被撞了，但是另外一辆车里没有人
281	4	[303]	0	0	0|出什么事了吗？
303	4	[286]	0	0	1|我的车被撞了
361	5	[362]	0	0	1|你好？
362	5	[363]	0	0	0|这里是112，你有什么事情么？
363	5	[364,365,366,367]	0	0	1|你好？我这里是黑武士学院，我们的一名学员刚不小心用剑刺伤了自己。
364	5	[368]	0	0	0|他现在怎么样了？？
368	5	[393]	0	0	1|他看起来脸色苍白…并且很紧张。
393	5	[394]	0	0	0|我们需要仔细调查这件事，正常来说不会发生这种事情。
394	5	[]	0	0	1|当然可以派警察来调查，但是现在他急需一辆救护车，非常急！
365	5	[395]	0	0	0|一把剑？这是怎么回事？
395	5	[393]	0	0	1|是的，用武士刀。我们在这里练习日本剑术。
366	5	[392]	0	0	0|他自己刺伤了自己？
392	5	[393]	0	0	1|是的，他正试着用他的右手，把剑从臀部拔出来，话说是谁刺伤的真的很重要吗？他正在流血啊，看上去非常严重...
367	5	[396]	0	0	0|他伤到哪里了？
396	5	[397]	0	0	1|在黑武士学院的练习大厅里，我记得我告诉过你。
397	5	[398]	0	0	0|我是说身体部位！
398	5	[388,369,373]	0	0	1|哦，右...在他的左肘内侧。
388	5	[389]	0	0	0|这只是个小伤，你开车送他去医院就行。医生会把他的伤口缝合起来的。
389	5	[369]	17	1	1|嗯...好的，如果你这么说的话。
369	5	[385]	0	0	0|救护车已经在路上了。
385	5	[]	17	0	1|好的，我们会等待救护车过来。
373	5	[400]	0	0	0|你应该压住伤口。
400	5	[370]	0	0	1|是的，我们已经在这么做了。
370	5	[371,372]	0	0	1|还有其他办法么？
371	5	[374]	0	0	0|你需要固定住他的肩膀。
374	5	[375,376,377]	0	0	1|我应该用什么固定住它？
375	5	[378]	0	0	0|你可以用衬衫来固定肩膀。
378	5	[379,380,383,372,369]	0	0	1|好的，我们会这么做的。
379	5	[385]	0	0	0|好的，就这样就可以了。
380	5	[390]	0	0	0|你是哪位？
390	5	[383,369]	0	0	1|我是他们的教练
383	5	[387]	0	0	0|你应该尽快送他去医院。
387	5	[388]	0	0	1|呃，好吧，但为什么不能直接派救护车过来呢？
372	5	[399]	0	0	0|告诉他抬起手臂并保持住。
399	5	[]	0	0	1|好的，听起来很合理…小明，把手举起来，要举过头顶。
376	5	[378]	0	0	0|你看看你的急救箱里有没有弹性绷带，你可以用它来固定肩膀。
377	5	[378]	0	0	0|你可以用你的腰带来固定肩膀
820	6	[821]	0	0	0|这里是911，有什么可以帮你的？
821	6	[822,825,836]	0	0	1|救命呀，帮帮我，我的房间里有一只蝙蝠
822	6	[824]	0	0	0|蝙蝠不会伤害你，实际上它比你更害怕。 你只需关上门，保持冷静就好。
824	6	[825,833]	0	0	1|我这么做了，我待在厕所里面，但我能听到它在整个公寓里飞来飞去！ 我被困在这里了，请帮帮我！
825	6	[829]	0	0	0|女士，你可以自己把窗户开大，关掉灯，蝙蝠就会自己飞走的。
829	6	[830,833,836]	0	0	1|我绝对不会离开这里的
830	6	[831]	0	0	0|你必须这么做，我不会派警察过去。你的生命安全并没有受到威胁，只是一只蝙蝠而已。
831	6	[833,842]	0	0	1|但是，天啊...不，帮帮我
833	6	[841]	0	0	0|所以你想让我做什么……派……蝙蝠侠？
841	6	[837]	0	0	我不在乎是谁，请派人帮助我！
837	6	[844]	0	0	0| 好的，我会派人帮你，请留在那里。
844	6	[836]	0	0	1|快点
836	6	[843]	0	0	0|你的地址在哪里？
843	6	[]	0	0	1|地址是：宜爱路520号，麻烦快点！
842	6	[835]	0	0	0|你可以做到，女士。小心点好吗？
835	6	[836,837,838]	0	0	1|不，我不行，我做不到
838	6	[]	0	0	0|很抱歉我们不能因为这点小事而出警
845	7	[846]	0	0	0|这里是911，有什么能帮到你的？
846	7	[847,848,849]	0	0	1|你好，我知道这听起来很傻，但我想我家后院可能有只熊。
847	7	[850]	0	0	0|先生，你确定你有紧急情况吗？严禁在911电话线上开玩笑。
850	7	[848,849]	0	0	1|我不是在开玩笑！我现在听到了熊的声音！
848	7	[879]	0	0	0|请问你的地址是？
879	7	[]	0	0	1|这里是槟榔路11号
849	7	[851]	0	0	0|你看到熊了吗？
851	7	[852,848,860]	0	0	1|不，我没见过。但是我听到了它发出非常恐怖的咆哮声
852	7	[854]	0	0	0| 先生，您完全确定那只熊在那里，即使您并没有真正看到它。对吗？
854	7	[855,856,857]	0	0	1| 嗯......我不会说我完全确定，但是......天很黑，我们院子里有一棵大灌木，它在摇晃，发出疯狂的咆哮声
855	7	[858]	0	0	0|还有别的吗？
858	7	[860,857]	0	0	1|嗯...我听到他沉重的呼吸声。而且树叶沙沙作响。
860	7	[865]	0	0	0|先生，如果它是一只熊，你会很容易认出它的。它可能只是一种普通的无害动物，如流浪猫或浣熊。
865	7	[867,856,869]	0	0	1|但是……但是……如果不是呢？！
867	7	[868]	0	0	0|正如我所说，没有任何紧急情况的迹象。请不要占用紧急线路，先生。
868	7	[]	0	0	1|呃...我以为你会认真对待我的问题....再见
856	7	[871]	0	0	0|先生，您家后院还有吃的吗？即使在垃圾桶里？
871	7	[873,869]	0	0	1|是的。昨天，我为几个朋友做了烧烤。剩菜太多了，所以我把它们放在垃圾桶里。
873	7	[880]	0	0	0|先生，您有锅、平底锅或其他可以用来发出声音的东西吗？
880	7	[881]	0	0	1|是的，有的。
881	7	[882]	0	0	0|我想让你在灌木丛前制造一些噪音。
882	7	[883]	0	0	1|什么？为什么？那么吓人
883	7	[884]	0	0	0|如果真的有熊，它应该会跑出来。
884	7	[885,886]	0	0	1|这是明智的选择吗？
885	7	[888]	0	0	0| 先生，我们需要先确认有威胁，然后才能派遣应急部队。
888	7	[889]	0	0	1|所以只能这样了，好的...
889	7	[890]	0	0	1|哇靠，原来有熊啊！但它并没有消失！
890	7	[891]	0	0	0|先生，先生，你还在吗？
891	7	[]	0	0	...............
886	7	[887]	0	0	0|如果你不敢一个人做，我会派消防员去检查。
887	7	[864]	0	0	1|非常感谢你，我会一直在这里等的！
864	7	[]	0	0	0|我会派出一支最近的消防队。他们会处理好的。
869	7	[874]	0	0	0|如果您在屋外，请进门并锁上门，先生。
874	7	[875,848,864]	0	0	1| 是的，这是个好主意。等一等。
875	7	[877]	0	0	0|现在，等待并观察灌木丛。尽量不要在没有需要的情况下离开家。我猜它只是一只猫，但如果熊出来了，请再给我们打电话，我会立即派急救队。
877	7	[]	0	0	1|我希望你现在派人来。不过没关系。我会等待。
857	7	[861]	0	0	0|你能给我描述一下声音吗？
861	7	[862]	0	0	1|听起来就像是...嗷~呜呜
862	7	[863]	0	0	0|谢谢你先生
863	7	[860,856,864]	0	0	1|.....
